Descrição	Valor	Encargos	Lançamento	Vencimento	Efetivação	Recorrência	Parcela	Parcelas	Categoria	Subcategoria	Cartão	Conta	Observações
Churrasco	31.50	0.00	31/12/2025 11:31	31/12/2025	31/12/2025	Nenhuma	0	0	Alimentação	Almoço	-	Nubank	
Agropet Dumont	31.99	0.00	31/12/2025 10:44	31/12/2025	31/12/2025	Nenhuma	0	0	Enrique	Outros	-	Nubank	
Salgados	139.50	0.00	31/12/2025 09:52	29/12/2025	29/12/2025	Nenhuma	0	0	Alimentação	Lanche	-	Nubank	
Churrasco	121.49	0.00	31/12/2025 09:51	30/12/2025	30/12/2025	Nenhuma	0	0	Alimentação	Almoço	-	Nubank	
Roupa	59.90	0.00	31/12/2025 09:49	30/12/2025	30/12/2025	Nenhuma	0	0	Arthur	Roupas	-	Nubank	
Roupas	150.00	0.00	31/12/2025 09:48	30/12/2025	30/12/2025	Nenhuma	0	0	Enrique	Roupas	-	Nubank	
Combustível	50.00	0.00	31/12/2025 09:47	30/12/2025	30/12/2025	Nenhuma	0	0	Transporte	Outros	-	Nubank	
Óculos Carol  1/3	110.00	0.00	30/12/2025 09:44	20/01/2026	17/01/2026	Parcelada (mensal)	1	3	Carolina	Roupas	BB (6825/0762)	Nubank	
Óculos Carol  2/3	110.00	0.00	30/12/2025 09:44	20/02/2026	20/02/2026	Parcelada (mensal)	2	3	Carolina	Roupas	BB (6825/0762)	Nubank	
Óculos Carol  3/3	110.00	0.00	30/12/2025 09:44	20/03/2026	19/03/2026	Parcelada (mensal)	3	3	Carolina	Roupas	BB (6825/0762)	Nubank	
Google Youtube	3.90	0.00	29/12/2025 17:14	15/01/2026	15/01/2026	Nenhuma	0	0	Empréstimo	Outros	Nubank	Nubank	
Energia Elétrica (Enel)	185.40	0.00	16/05/2026 12:00	22/05/2026	-	Nenhuma	0	0	Serviços Públicos	Energia	-	Bradesco	
Internet Fibra	120.00	0.00	10/05/2026 09:00	15/06/2026	-	Mensal	0	0	Tecnologia	Internet	-	Nubank	
Supermercado Zona Sul	350.00	0.00	15/05/2026 18:00	25/05/2026	-	Nenhuma	0	0	Alimentação	Supermercado	-	Nubank	
